period_start,period_end,status,calendar_days,settled_days,pnl,mean_day_pnl,worst_day_pnl,fill_rate,proof_id
2026-01-01,2026-01-04,settled,4,4,8858.2775,2214.569375,-2571.19,0.9053125,44d303d0f74b0b5befc0eca171124cbd27fe1dd01b23435074606a32d6946940
2026-01-05,2026-01-11,settled,7,7,-36276.865,-5182.4092857143,-25173.33,0.9723214286,921faa2bdaa04b3a826a1d6b8292421091572b119684333098af139924fe7d33
2026-01-12,2026-01-18,settled,7,7,41130.31,5875.7585714286,-6063.055,0.9728571429,1c8123af452b3c868f546f92e9fda16148bacbfefe4dfd3f1d89aecefc0026fd
2026-01-19,2026-01-25,settled,7,7,70746.0675,10106.5810714286,24.27,0.9668478261,ca6e2de272ffc970ad8c276b5ce73bdc7f7cc831a1d750d5fd1d74eeebb00227
2026-01-26,2026-02-01,settled,7,7,45967.1725,6566.7389285714,-4172.54,0.8383333333,6710443fd7432bf34cce7b58255577e381e759c06ef8a842dac844eb1753b6f5
2026-02-02,2026-02-08,settled,7,7,-47347.26,-6763.8942857143,-31150.24,0.9733695652,8ac1e5bdff4a76e5556b068198944d25b55594829dfe35e675018d1c77f38fa6
2026-02-09,2026-02-15,settled,7,7,25026.2224999999,3575.1746428571,-2077.67,0.9035714286,07fecf227ff6920d385475f1b2f0e250d746c50b98e5e96a0a7d911ed98a8eaa
2026-02-16,2026-02-22,settled,7,7,34596.94,4942.42,-2879.6575,0.8641129032,f6a384e7b254954f6bbe65feba13d043e5d3d0b898c5aeb5da9988a5675e4cc6
2026-02-23,2026-03-01,settled,7,7,12333.215,1761.8878571429,-2404.435,0.7410714286,3a76aadef35d4cd494550ff8b93345e0d67d8ffe503a0783e2bcb148a5998264
2026-03-02,2026-03-08,settled,7,7,-35586.9425,-5083.8489285714,-13257.7675,0.8425,ea0b4b459c0743eb2a03644990c7c4589d33f8bfe963be6ea285fabaa68583ff
2026-03-09,2026-03-15,settled,7,7,34280.215,4897.1735714286,-6351.8975,0.8303571429,17c4c93718e85560f1280c463ad1611d95323557e337aac7262a58994c8a133a
2026-03-16,2026-03-22,settled,7,7,41007.08,5858.1542857143,-618.84,0.7377016129,59fc549c5ed4a370c1b080bcae78b5b03c5b837b51fccad1d672369efdb946e0
